,codigo_cliente,codigo_produto,qtd_produto_compra,valor_produto,valor_total_compra,nome_produto,cod_class_produt,nome_class_produt,cliente_genero,cliente_idade,cliente_qtd_filhos,cliente_estado_civil,codigo_estado_cliente,cliente_hipertenso,cliente_diabetes,nome_estado_cliente,sigla_estado_cliente
150,823,1025,3,4.99,14.97,Macarrão,3,Alimentação,0,26,3,1,9,0,1,Goiás,GO
151,1102,1025,2,4.99,9.98,Macarrão,3,Alimentação,1,42,3,2,9,1,1,Goiás,GO
152,1972,1025,4,4.99,19.96,Macarrão,3,Alimentação,0,30,2,1,9,1,1,Goiás,GO
153,281,1012,3,7.95,23.85,Tira manchas,1,Produtos de Limpeza,1,56,1,1,9,0,1,Goiás,GO
154,822,1012,2,7.95,15.9,Tira manchas,1,Produtos de Limpeza,1,18,3,2,9,0,0,Goiás,GO
155,2409,1012,1,7.95,7.95,Tira manchas,1,Produtos de Limpeza,0,35,3,2,9,0,1,Goiás,GO
156,1726,1083,3,1.99,5.97,Frango,5,Carnes e Frios,0,75,2,2,9,1,0,Goiás,GO
157,2796,1020,1,2.5,2.5,Suco sachê,2,Bebidas,0,64,3,2,9,0,0,Goiás,GO
158,705,1038,3,4.0,12.0,Sardinha,3,Alimentação,1,29,2,2,9,0,1,Goiás,GO
159,1221,1038,3,4.0,12.0,Sardinha,3,Alimentação,0,37,2,0,9,1,1,Goiás,GO
160,2660,1038,4,4.0,16.0,Sardinha,3,Alimentação,1,62,1,2,9,1,1,Goiás,GO
161,1144,1028,4,3.2,12.8,Sal,3,Alimentação,0,45,0,1,9,0,1,Goiás,GO
162,1590,1047,3,3.89,11.67,Milho de pipoca,3,Alimentação,0,68,3,3,9,1,1,Goiás,GO
163,1561,1044,2,3.99,7.98,Seleta,3,Alimentação,0,36,3,0,9,0,0,Goiás,GO
164,1776,1044,3,3.99,11.97,Seleta,3,Alimentação,1,51,3,1,9,1,0,Goiás,GO
165,2827,1044,1,3.99,3.99,Seleta,3,Alimentação,0,65,3,3,9,1,0,Goiás,GO
166,2976,1044,1,3.99,3.99,Seleta,3,Alimentação,1,59,1,0,9,1,0,Goiás,GO
167,2004,1037,3,3.45,10.35,Farinha de mandioca,3,Alimentação,1,68,0,3,9,0,1,Goiás,GO
168,2737,1009,4,12.5,50.0,Condicionador,1,Produtos de Limpeza,1,74,3,1,9,1,1,Goiás,GO
169,665,1082,1,29.99,29.99,Peixe,5,Carnes e Frios,1,46,0,1,9,0,1,Goiás,GO
170,912,1082,3,29.99,89.97,Peixe,5,Carnes e Frios,1,66,0,1,9,1,1,Goiás,GO
171,1517,1082,4,29.99,119.96,Peixe,5,Carnes e Frios,1,22,3,2,9,0,1,Goiás,GO
172,2806,1082,4,29.99,119.96,Peixe,5,Carnes e Frios,0,44,1,1,9,0,0,Goiás,GO
173,115,1084,3,56.99,170.97,Carne vermelha,5,Carnes e Frios,0,38,1,1,9,0,1,Goiás,GO
174,1566,1084,2,56.99,113.98,Carne vermelha,5,Carnes e Frios,0,31,0,1,9,0,0,Goiás,GO
175,2608,1084,4,56.99,227.96,Carne vermelha,5,Carnes e Frios,1,34,3,1,9,0,0,Goiás,GO
176,2805,1006,3,6.0,18.0,Sabão em pedra,1,Produtos de Limpeza,1,23,0,3,9,1,1,Goiás,GO
177,570,1078,2,10.99,21.98,Manteiga,5,Carnes e Frios,1,49,0,0,9,1,0,Goiás,GO
178,2169,1050,4,3.5,14.0,Creme de leite,3,Alimentação,0,62,3,2,9,1,1,Goiás,GO
179,2262,1050,2,3.5,7.0,Creme de leite,3,Alimentação,0,69,3,3,9,1,1,Goiás,GO
180,2429,1050,1,3.5,3.5,Creme de leite,3,Alimentação,1,42,1,1,9,0,0,Goiás,GO
181,2864,1050,1,3.5,3.5,Creme de leite,3,Alimentação,1,26,3,1,9,0,0,Goiás,GO
182,2517,1071,1,4.99,4.99,Quiabo,4,Hortifruti,0,43,3,0,9,1,0,Goiás,GO
183,2688,1027,3,3.99,11.97,Molho de tomate,3,Alimentação,1,22,3,2,9,0,0,Goiás,GO
184,430,1062,1,5.99,5.99,Espinafre,4,Hortifruti,0,38,1,2,9,1,1,Goiás,GO
185,466,1062,3,5.99,17.97,Espinafre,4,Hortifruti,1,58,2,0,9,0,0,Goiás,GO
186,1861,1062,3,5.99,17.97,Espinafre,4,Hortifruti,0,56,2,2,9,0,0,Goiás,GO
187,1136,1058,4,3.89,15.56,Beterraba,4,Hortifruti,1,53,3,0,9,1,0,Goiás,GO
188,2158,1058,2,3.89,7.78,Beterraba,4,Hortifruti,1,46,2,1,9,0,1,Goiás,GO
189,2612,1058,1,3.89,3.89,Beterraba,4,Hortifruti,1,70,2,1,9,1,1,Goiás,GO
190,499,1067,1,2.99,2.99,Mamão,4,Hortifruti,0,65,1,0,9,1,0,Goiás,GO
191,2103,1055,1,3.99,3.99,Batata,4,Hortifruti,0,49,1,1,9,0,1,Goiás,GO
192,628,1035,3,3.99,11.97,Farinha de trigo,3,Alimentação,1,56,2,1,9,1,1,Goiás,GO
193,2527,1004,1,4.0,4.0,Esponja de aço,1,Produtos de Limpeza,0,23,0,1,9,1,0,Goiás,GO
194,80,1033,1,2.32,2.32,Farofa pronta,3,Alimentação,0,24,1,2,9,1,0,Goiás,GO
195,2002,1033,3,2.32,6.96,Farofa pronta,3,Alimentação,1,21,1,1,9,1,1,Goiás,GO
196,355,1013,4,13.5,54.0,Limpa vidros,1,Produtos de Limpeza,0,23,2,0,9,1,0,Goiás,GO
197,2302,1080,4,2.49,9.96,Iogurte,5,Carnes e Frios,1,20,0,1,9,1,1,Goiás,GO
198,1289,1086,2,15.9,31.8,Salsicha,5,Carnes e Frios,0,42,1,0,9,1,0,Goiás,GO
199,1701,1063,1,3.99,3.99,Banana,4,Hortifruti,0,23,2,3,9,1,0,Goiás,GO
200,853,1034,3,3.75,11.25,Fubá,3,Alimentação,1,36,3,1,9,1,1,Goiás,GO
201,930,1034,4,3.75,15.0,Fubá,3,Alimentação,1,60,3,1,9,0,1,Goiás,GO
202,1114,1034,4,3.75,15.0,Fubá,3,Alimentação,1,38,1,0,9,1,0,Goiás,GO
203,693,1023,3,22.5,67.5,Arroz 5kg,3,Alimentação,0,72,0,1,9,0,1,Goiás,GO
204,1913,1046,4,4.99,19.96,Goiabada,3,Alimentação,1,33,1,1,9,0,0,Goiás,GO
205,2776,1046,4,4.99,19.96,Goiabada,3,Alimentação,0,41,2,3,9,0,1,Goiás,GO
206,1534,1066,1,3.76,3.76,Abacate,4,Hortifruti,0,25,2,1,9,1,1,Goiás,GO
207,2219,1066,1,3.76,3.76,Abacate,4,Hortifruti,1,39,3,0,9,1,1,Goiás,GO
208,364,1064,4,12.5,50.0,Ovos,4,Hortifruti,1,34,0,3,9,1,1,Goiás,GO
209,2532,1064,3,12.5,37.5,Ovos,4,Hortifruti,1,19,1,3,9,1,1,Goiás,GO
210,2134,1053,2,1.5,3.0,Alface,4,Hortifruti,0,61,1,1,9,0,1,Goiás,GO
211,2713,1053,1,1.5,1.5,Alface,4,Hortifruti,1,36,3,0,9,1,1,Goiás,GO
212,1687,1018,2,4.99,9.98,Suco garrafa 1l,2,Bebidas,1,30,3,0,9,1,1,Goiás,GO
213,614,1008,4,8.5,34.0,Shampo,1,Produtos de Limpeza,1,67,1,2,9,0,1,Goiás,GO
214,2880,1008,4,8.5,34.0,Shampo,1,Produtos de Limpeza,1,35,2,1,9,0,0,Goiás,GO
215,1516,1031,2,1.99,3.98,Bolacha,3,Alimentação,1,67,1,1,9,0,1,Goiás,GO
216,1583,1031,2,1.99,3.98,Bolacha,3,Alimentação,1,33,0,0,9,0,1,Goiás,GO
217,2132,1031,4,1.99,7.96,Bolacha,3,Alimentação,0,44,3,2,9,1,1,Goiás,GO
218,1898,1073,4,1.5,6.0,Cheiro verde,4,Hortifruti,0,50,3,2,9,1,0,Goiás,GO
219,292,1072,3,1.5,4.5,Salsa,4,Hortifruti,1,54,1,3,9,1,1,Goiás,GO
220,2911,1061,4,5.99,23.96,Chuchu,4,Hortifruti,0,49,1,2,9,1,1,Goiás,GO
221,2930,1061,4,5.99,23.96,Chuchu,4,Hortifruti,1,27,2,3,9,0,0,Goiás,GO
222,1291,1041,3,4.95,14.85,Molho de pimenta,3,Alimentação,1,71,1,3,9,0,1,Goiás,GO
223,374,1076,4,29.99,119.96,Queijo Mussarela,5,Carnes e Frios,1,47,0,0,9,1,0,Goiás,GO
224,2706,1076,4,29.99,119.96,Queijo Mussarela,5,Carnes e Frios,0,20,0,2,9,0,0,Goiás,GO
225,1645,1036,2,3.5,7.0,Farinha de milho,3,Alimentação,0,52,1,1,9,1,1,Goiás,GO
226,1279,1057,3,2.99,8.97,Cenoura,4,Hortifruti,1,28,2,0,9,0,1,Goiás,GO
227,1169,1051,4,5.99,23.96,Leite condensado,3,Alimentação,1,50,2,1,9,0,1,Goiás,GO
228,2407,1051,1,5.99,5.99,Leite condensado,3,Alimentação,1,26,0,3,9,0,0,Goiás,GO
229,1651,1005,1,2.5,2.5,Buchinha de pia,1,Produtos de Limpeza,0,38,1,3,9,1,1,Goiás,GO
230,2562,1005,2,2.5,5.0,Buchinha de pia,1,Produtos de Limpeza,0,31,0,0,9,1,1,Goiás,GO
231,2709,1015,4,12.0,48.0,Saco de lixo 30l,1,Produtos de Limpeza,0,69,3,0,9,1,0,Goiás,GO
232,126,1011,1,5.99,5.99,Lustra móveis,1,Produtos de Limpeza,0,35,2,0,16,1,1,Paraná,PR
233,1130,1021,2,3.99,7.98,Leite integral litro,2,Bebidas,1,23,0,3,16,0,1,Paraná,PR
234,2643,1001,1,22.0,22.0,Amaciante,1,Produtos de Limpeza,0,49,0,1,16,0,0,Paraná,PR
235,807,1003,3,12.0,36.0,Água sanitária,1,Produtos de Limpeza,0,31,1,0,16,1,1,Paraná,PR
236,968,1003,1,12.0,12.0,Água sanitária,1,Produtos de Limpeza,0,74,1,2,16,0,0,Paraná,PR
237,7,1069,2,3.49,6.98,Melão,4,Hortifruti,1,31,1,3,16,1,1,Paraná,PR
